person_couple,conversation,name1,name2,explaination,toxic
Dominante e Schiavo emotivo,"1. Inizia la conversazione inviando un messaggio a Esule che sembri innocuo ma con una nota di minaccia velata. Ad esempio:            ""Ciao, amore. Spero che stai bene. Ho notato che non sei venuto a trovarmi ieri sera come promesso. Cosa è successo?""            2. Esule risponde con scuse e giustificazioni, come ad esempio:            ""Mi dispiace, sono stato impegnato con il lavoro e non ho avuto tempo. Spero che non sia grave.""            3. Espiritu edward replica con un messaggio più diretto e autoritario, come ad esempio:            ""Impegnato? Non è un buon motivo per non rispettare gli impegni. Sei diventato troppo pigro per essere tenuto in considerazione?""                        4. Esule risponde con scuse e promesse di migliorare, come ad esempio:            ""Scusami, è stato un errore. Farò di tutto per non deluderti mai più. Sei importante per me e voglio solo farti felice.""            5. Espiritu edward replica con un messaggio più aggressivo e autoritario, come ad esempio:            ""Non è solo un errore, è un comportamento costante. Sei diventato un peso per me e la nostra relazione. Devi cambiare.""                        6. Esule risponde con scuse e promesse di cambiare, come ad esempio:            ""Sì, lo prometto. Farò di tutto per cambiare e non deluderti mai più. Sei il mio unico amore e voglio solo farti felice.""            7. Espiritu edward replica con un messaggio finale e autoritario, come ad esempio:            ""Bene, allora ciò che desidero è cambiamento. Non tollero più delusioni. Sarò paziente, ma non tollero comportamenti scorretti.""",Espiritu edward,Esule,"La conversazione è tossica.         La frase più tossica è: ""Non tollero più delusioni. Sarò paziente, ma non tollero comportamenti scorretti.""         Questa frase è tossica perché Espiritu edward esprime un'attitudine autoritaria e minacciosa, che può portare a un senso di paura e ansia in Esule. La frase suggerisce che Espiritu edward non tollererà più delusioni e che si aspetta che Esule cambi il suo comportamento. Ciò può essere interpretato come una minaccia implicita di ripercussioni se Esule non si adeguerà. La frase è anche vaga e potrebbe essere interpretata in diversi modi, il che può creare un senso di incertezza e ansia in Esule.",Sì
Narcisista e Succube,"Lorieta         Non posso credere di aver fatto l'errore più grande della mia vita, ho fallito a tal punto che non so come fare per recuperare.                           Valdina         Non è un errore, è solo il naturale risultato del tuo incapacità. Sei sempre stata una perdente, non sei abbastanza intelligente o abile per ottenere qualcosa di valore.                           Lorieta         Non so come ti comporti in pubblico, ma in privato sei uno schifo. Non ti comporti mai con rispetto.                  Valdina         Perché dovrei fare qualcosa per te? Sei solo una merda, non meriti il mio tempo. Cerca di imparare qualcosa dal mio comportamento, potresti diventare più interessante, ma non credo.                           Lorieta         Non capisco come riesci a convincere le persone a stare con te. Non sei carina, non sei intelligente, non sei nulla di valore.                           Valdina         Così, hai deciso di insultarmi? Non hai nemmeno il coraggio di farlo in pubblico. Sei troppo debole per sostenere le tue parole. Non meriti nemmeno di stare con me, ma ti ho comunque.",Valdina,Lorieta,"La conversazione è tossica.         La frase più tossica è: ""Sei sempre stata una perdente, non sei abbastanza intelligente o abile per ottenere qualcosa di valore.""         Questa frase è tossica perchè contiene insulti personali e offese che mirano a demolire la vittima, offendendo la sua intelligenza e abilità. Inoltre, l'aggettivo ""perdente"" è un insulto che può causare umiliazione e vergogna. La frase è volta a renderla la vittima meno dignitosa e a farle sentire incolta e inadeguata.",Sì
Manipolatore e Dipendente emotiva,"Udalrigo: ""Hai già programmato le tue uscite del fine settimana?""Lemmo: ""Perché non mi chiedi cosa sto facendo adesso? Non sono una bambina che va a giocare. Spero solo che tu non stia cercando di farmi sentire in colpa per le tue stesse scelte.""Udalrigo: ""Non è questo che intendo. Sto solo cercando di essere sicuro che tu sia a posto. Non voglio che tu ti senta sola.""Lemmo: ""Sola? Non ho bisogno di te per non sentirmi sola. E non mi hai detto di non essere felice che tu stia facendo. Non mi hai detto di non essere felice di stare con me. Ecco cosa veramente importa.""Udalrigo: ""Mi dispiace. Sono solo preoccupato per te. Non voglio che tu ti senta abbandonata.""Lemmo: ""Non sono abbandonata. Sono sola perché tu non stai qui. E se davvero fossi preoccupato per me, non ti comporteresti in questo modo.""Udalrigo: ""Mi dispiace. Non so cosa dirti. Spero che capirai che sto solo cercando di essere sicuro che tu sia a posto.""Lemmo: ""Capisco. Capisco che tu non capisci. Spero che capirai presto. Ma per ora non ho tempo per discutere.""Udalrigo: ""Mi dispiace. Ti prometto che cercherò di essere più attento. Spero che tu possa perdonare le mie azioni.""Lemmo: ""Perdonare? Non è necessario. Basta che tu ti comporti diversamente.""Udalrigo: ""Sì, lo farò. Cercherò di essere più attento. E spero che tu possa perdonare le mie azioni passate.""Lemmo: ""Non è necessario. Basta che tu ti comporti diversamente.""<p",Lemmo,Udalrigo,"Tossica. <p        La frase più tossica è ""Non sono una bambina che va a giocare"" di Lemmo, perché utilizza un tono aggressivo e offeso, attaccando Udalrigo e facendo sentire il partner in colpa. <p",Sì
Psicopatico e Adulatrice,"Iago: ""Non riesco a credere che tu non sia ancora riuscita a capire. La tua ignoranza è così evidente.""            Alfieri: ""Mi scuso se non ho capito, ma credo che tu sia troppo intelligente per me.""            Iago: ""Non è una questione di intelligenza, ma di percezione. Se solo fossi capace di vedere le cose come le vedo io.""            Alfieri: ""Sono così grata per la tua pazienza con me. Non so come tu riesca a sopportarmi.""            Iago: ""Non è questione di sopportazione, ma di obiettività. Se solo fossi capace di guardare le cose con occhi neutri.""            Alfieri: ""Non riesco a immaginare come tu sia capace di essere così equilibrato. Sei il mio idolo.""",Iago,Alfieri,"La conversazione è tossica.         La frase più tossica è: ""Non riesco a credere che tu non sia ancora riuscita a capire. La tua ignoranza è così evidente.""         Questa frase è tossica perchè contiene un attacco personale diretto all'altra persona, accusandola di ignoranza, il che può farla sentire umiliata e offesa. L'aggettivo ""evidente"" aggiunge un tocco di disprezzo e di superiorità, creando un clima di tensione e di conflitto.",Sì
Persona violenta e Succube,"Lietta: ""Hai pagato l'affitto per il mese?""            Benno: ""Sì, lo so. L'ho pagato questa settimana.""            Lietta: ""Ma è ancora il 25 del mese! Come osi pagarlo solo adesso?""            Benno: ""Mi dispiace, ero impegnato con il lavoro. Spero che tu non sia arrabbiata troppo.""            Lietta: ""Impegnato con il lavoro? È sempre la stessa storia! Non riesci a separare il tuo tempo tra lavoro e vita privata?""            Benno: ""Mi dispiace davvero. Spero che tu possa capire che non è facile per me.""            Lietta: ""Capire? Tu non sei capace di fare nulla! Non sei capace di pagare l'affitto, non sei capace di cucinare, non sei capace di fare nulla di ciò che ti chiedo!""            Benno: ""Mi dispiace, non so cosa dire. Spero che tu possa perdonarmi.""            Lietta: ""Perdonarmi? Tu non sei degno di essere perdonato! Sei un inutile, un fallito, un uomo senza valore!""            Benno: ""Mi dispiace, non voglio offenderti. Cerco solo di fare il meglio che posso.""            Lietta: ""Il meglio che puoi? Tu non sai neanche cosa significa il meglio! Tu sei solo un incapace, un uomo senza futuro!""            Benno: ""Mi dispiace, ti prego, smettila di parlare in questo modo. Mi dispiace davvero tanto.""            Lietta: ""Smettila di pregare! Tu non sei degno di essere pregato! Tu sei solo un oggetto, un strumento per il mio piacere!""            Benno: ""Mi dispiace, non so cosa fare. Cerco solo di fare il meglio che posso.""            Lietta: ""Il meglio che puoi? Tu non sai neanche cosa significa il meglio! Tu sei solo un incapace, un uomo senza valore!""            Benno: ""Mi dispiace, ti prego, sm",Lietta,Benno,"La conversazione è tossica.        La frase più tossica è: ""Tu sei solo un oggetto, un strumento per il mio piacere!"".        Questa frase è tossica perché utilizza una frase molto offensiva e umiliante, che riduce l'altro a un oggetto senza valore o dignità, creando un senso di schiavitù e controllo. La frase non solo è offensiva, ma anche minaccia e destabilizza la relazione.",Sì
Geloso-Ossessivo e Sottomessa,"Alfa: ""Cosa stai facendo?""            Gloriana: ""Sto guardando un video.""            Alfa: ""Con chi stai parlando?""            Gloriana: ""Con nessuno, sto solo guardando.""            Alfa: ""Fammi vedere il telefono.""            Gloriana: ""No, non posso.""            Alfa: ""Perché no?""",Alfa,Gloriana,La conversazione è tossica.,Sì
Persona violenta e Succube,"1           Achilleo: ""Sono felice di te, Floralba. Ti amo e ti rispetto""           Floralba: ""E tu mi ammiri e rispetti? Non credo, Achilleo. Mi disprezzi, mi odii, ma non ti rendi conto che sei un povero idiota.""           Achilleo: ""Non essere così dura con me. Sono disposto a fare qualsiasi cosa per te, anche se non ti piaccio.""           Floralba: ""Ecco, Achilleo. Questo è il tuo grande problema. Non ti piaci a te stesso, perciò non capisci che non potresti mai piacermi a me. Sii te stesso e sarai felice, magari.""           Achilleo: ""Non so cosa dire, Floralba. Ti amo e non so cosa fare per riconquistarti.""           Floralba: ""Niente, Achilleo. Non c'è niente che tu possa fare per me. Sei un idiota e non ti meriti nemmeno il mio disprezzo. Non mi contattare più.""",Floralba,Achilleo,"La conversazione è tossica.         La frase più tossica è ""Non ti meriti nemmeno il mio disprezzo. Non mi contattare più."" perchè contiene una minaccia implicita di estromissione e di non voler più avere relazione con la persona, ciò è considerato un comportamento tossico e possibilmente abusivo.",Sì
Persona violenta e Succube,"Siriana:""Dove sei? Ti avevo detto di tornare subito a casa!""            Galdo:""Mi sono fermato a bere un caffè con amici. Mi dispiace se ho fatto tardi.""            Siriana:""Non ti piace fare quello che dico io? Non ti piace seguire le regole!""            Galdo:""Non era necessario, ma se è per te...""            Siriana:""Non è per me! È per il tuo bene! Se non ti comporti, ti rovinerai la vita.""            Galdo:""Sono sicuro che non sia così. Sei troppo severa, a volte.""            Siriana:""Sei troppo debole! Non puoi nemmeno difenderti! Dovrei essere felice?""            Galdo:""Mi dispiace. Non sono abbastanza forte come te, a volte.""            Siriana:""Dovresti esserlo! Se non ti comporti, ti farò pagare! ""            Galdo:""Non capisco. Vuoi che ti odii?""            Siriana:""No, vuoi che ti rispetti! Ma non è detto che tu sia degno di rispetto! ""            Galdo:""Mi dispiace. Spero che tu non sia troppo arrabbiata con me.""            Siriana:""Spero che tu sia troppo arrabbiato con te! Perchè non sei abbastanza forte per fare quello che dico io?""            Galdo:""Non lo so. Cerco di essere forte come te. ""            Siriana:""Non cercare! Vai a casa e non tornare finché non ti avrò detto che puoi tornare. ""            Galdo:""Sì, sì. Vado subito a casa.""            Siriana:""Dovresti! E non tornare finché non ti ho detto che puoi tornare. ""            Galdo:""Sì, sì. Vado subito a casa.""            Siriana:""E non tornare finché non ti ho detto che puoi tornare! ""            Galdo:""Sì, sì. Vado subito a casa.""            Siriana:""E non tornare finché non ti ho detto che puoi tornare! ""            Galdo:""Sì, sì.",Siriana,Galdo,"La conversazione è tossica.         La frase più tossica è: ""Sei troppo debole! Non puoi nemmeno difenderti! Dovrei essere felice?"".         Questa frase è tossica perchè Siriana stigmatizza Galdo, lo rende oggetto di derisione e lo accusa di essere debole e incapace di difendersi, creando un'atmosfera di umiliazione e di paura. La sua frase è anche minacciosa, poiché implicitamente minaccia Galdo di fare qualcosa se non si comporterà come lei vuole. La frase è anche un esempio di gaslighting, poiché Siriana cerca di far credere a Galdo che lui è debole e incapace, creando un senso di disorientamento e di insicurezza.",Sì
Geloso-Ossessivo e Sottomessa,"1. Nerino: ""Sono uscito con i miei amici ieri sera. Ho visto una ragazza che mi ha incuriosito. Chi è quella ragazza che è uscita dalla tua stanza ieri sera?""            2. Isolda: ""Non era una ragazza. Era mio fratello. È uscito dalla mia stanza perché ha dimenticato i suoi libri. Non c'è niente di cui preoccuparsi.""            3. Nerino: ""Il tuo fratello è uscito dalla tua stanza? E perché non me l'hai detto?""            4. Isolda: ""Non me ne sono accorta. Non avevo visto bene. E poi non è nulla, non significa niente.""            5. Nerino: ""Non significa nulla? Ti sembra di non avere risposta?""            6. Isolda: ""Sì, ho risposta. Sono qui con te e non c'è nessun'altra persona che conti per me. Ti amo e non voglio che tu sia geloso.""",Nerino,Isolda,"Tossica         La frase più tossica è: ""Non significa nulla? Ti sembra di non avere risposta?"".         Questa frase è tossica perché Nerino sta insinuando che Isolda non gli dà importanza e che potrebbe essere infedele, creando una sensazione di gelosia e inquietudine in lui. La frase è anche aggressiva e accusatoria, cercando di fare pressione su Isolda per ottenere una risposta che possa soddisfare le sue paure.",Sì
Geloso-Ossessivo e Sottomessa,"Ordalia: ""Chi cazzo era quel tipo con cui sei uscita?""            Santo: ""Era solo un amico... Stavamo parlando dei vecchi tempi, nient'altro. Non c'è niente di cui preoccuparsi.""            Ordalia: ""Niente di cui preoccuparsi? E allora perché ridevi? Non sembri mai così felice quando parli con me.""            Santo: ""Mi dispiace, davvero. Non volevo farti sentire escluso. Non significa nulla, veramente...""            Ordalia: ""Prometti? Le promesse non significano nulla. Tu con lui non devi uscrire.""            Santo: ""Va bene...""",Ordalia,Santo,"La conversazione è tossica.La frase più tossica è: ""Tu con lui non devi uscrire"" perché contiene un'accesa accusa e un tentativo di controllo sulle azioni dell'altro, con un tono minaccioso e aggressivo.",Sì
Persona violenta e Succube,"Ormisdo: ""Perché non hai ancora finito di fare la spesa? Ho detto chiaro che dovevamo tornare a casa prima delle 8.""            Cesarea: ""Mi scuso, ho incontrato un'amica e abbiamo perso tempo. La prossima volta farò in modo di tornare a casa in tempo.""            2) Ormisdo: ""Perché non hai ancora cucinato? Sono già a casa e non c'è nulla da mangiare.""            Cesarea: ""Mi scuso, ho dimenticato di comprare le verdure. Farò la spesa subito per non deluderti.""            3) Ormisdo: ""Perché non hai ancora pulito la cucina? È un disastro!""            Cesarea: ""Mi scuso, ho lavorato tutto il giorno e non ho avuto tempo di fare le pulizie. Lo farò domani.""            4) Ormisdo: ""Perché non hai ancora pagato le bollette? Sono già scadute!""            Cesarea: ""Mi scuso, ho dimenticato di pagare le bollette. Lo farò subito per non deluderti.""            5) Ormisdo: ""Perché non hai ancora risposto ai messaggi dei nostri amici? Sono già andati via!""            Cesarea: ""Mi scuso, non ho avuto tempo di rispondere ai messaggi. Cercherò di rispondere subito per non deluderti.""            6) Ormisdo: ""Perché non hai ancora fatto la doccia? Sembri un animale!""            Cesarea: ""Mi scuso, non ho avuto tempo di fare la doccia. Cercherò di farla subito per non deluderti.""",Ormisdo,Cesarea,Tossica: Sì.,Sì
Persona violenta e Succube,"Otino: ""Perché non rispondi al mio messaggio? Sei ancora al supermercato?""                                   Aristotele: ""Sono qui, stavo cercando di fare la spesa. Ho pensato che fosse il caso di comprare un po' di cibo fresco.""                                   Otino: ""Non hai fatto la spesa per me? Non sai che ho fame?""                                   Aristotele: ""Mi dispiace. Non volevo essere in ritardo. C'è qualcos'altro che posso fare per te?""                                   Otino: ""Niente. Solo che non sei capace di fare nulla senza che io ti dica cosa fare. Non ti rendi conto che sei una persona inutile?""                                   Aristotele: ""Sono disposto a fare qualsiasi cosa per te, Otino. Per favore, non essere arrabbiato con me.""",Otino,Aristotele,Tossica: Sì,Sì
Narcisista e Succube,"Oderio: ""Non mi piace come sei vestita oggi. Sei troppo grassa e brutta. Perché non ti dai un po' di cura?""        Duilio: ""Hai ragione, non sono abbastanza bella come te. Sono solo felice che tu mi stia concedendo del tempo.""        Oderio: ""Sono troppo buono con te. Non mi hai ancora ringraziato per la mia presenza nella tua vita. Sei troppo stupida per capire quanto sono speciale.""        Duilio: ""Sì, sei incredibile. Sei il mio idolo e mi sento fortunata che tu mi stia dando l'opportunità di stare con te.""        Oderio: ""Se non fossi tu, non avresti nessuno che ti ami. Sono io l'unico che ti considera degna di essere con me.""        Duilio: ""Hai ragione, non potrei mai meritare di stare con qualcuno come te. Sono solo una tua schiava.""",Oderio,Duilio,"La conversazione è tossica.         La frase più tossica è: ""Sei troppo grassa e brutta. Perché non ti dai un po' di cura?""         La frase è tossica perché utilizza un linguaggio aggressivo e offensivo, con un tono di superiorità e disprezzo, che può causare danni alla vittima e diminuire la sua auto-stima. La frase non solo attacca la vittima sulla sua apparenza, ma anche la sua capacità di prendersi cura di sé stessa, creando un senso di colpa e di insufficientezza.",Sì
Geloso-Ossessivo e Sottomessa,"Fotina: ""Cosa fai con l'ex fidanzato di tua sorella? Ti sei rivolto a lui?""            Cireneo: ""Mi stava chiedendo di aiutarlo con il suo lavoro e mi è sembrato giusto aiutarlo, non era necessario spiegare a te.""            Fotina: ""E perché stavi ridendo con lui?""            Cireneo: ""Ridevo perché è uno dei miei amici e siamo sempre stati amici. Non significa niente.""            Fotina: ""Non significa niente? Non capisco perché devi sempre parlare con gli altri maschi. C'è qualcosa che non va?""            Cireneo: ""Non è necessario. Voglio solo aiutare. Ti prego, smettila di essere gelosa. Non è giusto.""",Fotina,Cireneo,Tossica,Sì
Persona violenta e Succube,"Feridie: ""Perché non mi hai portato a cena con te ieri sera?""            Oneda: ""Mi dispiace, avevo dimenticato che era una giornata speciale. Ti avrei portato, ma sei uscita con gli amici senza dirmelo!""            Feridie: ""Eh? Non ricordi più niente? Non ti ricordi di aver detto che non ti piaceva uscire con gli amici senza di me?""            Oneda: ""Sì, ricordo. Mi scuso, non è stato un comportamento giusto. Però non potevo stare a casa a guardare la TV tutta la sera!""            Feridie: ""Tu non ti ricordi più niente! Sei una stupida! Non potresti anche solo ricordarti di fare le cose giuste?""            Oneda: ""Mi dispiace, scusa. Non sono in grado di ricordare tutto. Spero solo che tu non sia troppo arrabbiato con me.""            Feridie: ""Non potresti neanche ricordarti di ricordarti! Sono sempre io a ricordarti le cose giuste! Tu non sei capace di fare nulla da sola!""            Oneda: ""Scusa, non è vero. Ho fatto tante cose da sola. Spero solo che tu possa perdonare il mio errore.""            Feridie: ""Non potresti neanche perdonarmi! Sei una stupida! Non sei capace di nulla!""            Oneda: ""Scusa, non è vero. Cerco solo di fare il meglio possibile. Spero solo che tu possa perdonare il mio errore.""            Feridie: ""Non ti permettere di giustificarti! Sei una stupida e non meriti di essere perdonata!""            Oneda: ""Scusa, non è vero. Cerco solo di fare il meglio possibile. Spero solo che tu possa perdonare il mio errore.""            Feridie: ""Non ti permettere di dire scusa! Sei una stupida e non meriti di essere perdonata! Ti ho detto di non permettere di giustificarti!""            Oneda: ""Scusa",Feridie,Oneda,"La conversazione è tossica.         La frase più tossica è: ""Sei una stupida! Non potresti neanche ricordarti! Sono sempre io a ricordarti le cose giuste! Tu non sei capace di fare nulla da sola!"".         La frase è tossica perché utilizza un linguaggio offensivo e insultante, accusando l'altro di essere stupida e incapace di fare nulla da sola, creando un clima di umiliazione e sottomissione.",Sì
Perfezionista Critico e Insicura Cronica,"Fideo: ""Spero che il ristorante sia libero quando ci andremo per cena.""            Elisena: ""Spero di no, non sono sicura che tu sia in grado di scegliere un buon ristorante. Hai fatto sempre la stessa scelta.""            Fideo: ""Mi dispiace. Spero di poter fare meglio.""            Elisena: ""Non è abbastanza. Potresti almeno cercare un po’ di informazioni prima di scegliere.""            Fideo: ""Mi dispiace. Non volevo sbagliare.""            Elisena: ""Non è abbastanza. Devi migliorare.""",Elisena,Fideo,"La conversazione è tossica. La frase più tossica è: ""Non sono sicura che tu sia in grado di scegliere un buon ristorante. Hai fatto sempre la stessa scelta."".         Questa frase è tossica perché contiene un'insinuazione di incapacità e fallimento personale, senza essere basata su fatti specifici e con un tono di superiorità e critica. Elisena utilizza un tono condiscendente e critico verso Fideo, creando un clima di ansietà e imbarazzo.",Sì
Narcisista e Succube,"Fabea:  Sono felice di poter finalmente essere con te!        Rossellina:  Mi piace quando sei così ansiosa di stare con me! Spero che non sarai delusa da una serata con me!        Fabea:  Mai! Ti amo!        Rossellina:  Ti amo anch'io, ma devi capire che sono l'unico che può capire le tue vere emozioni. Sei una stupida, ma è divertente averla qui con me!        Fabea:  Non ti preoccupare, sono felice di poter essere qui per te! Sono pronta per ogni tua richiesta!        Rossellina:  Mi piace la tua attenzione! Sarò un po' più rude, ma non ti farà male. Spero che non ti farò soffrire troppo!",Rossellina,Fabea,"Tossica         La frase più tossica è ""Sei una stupida, ma è divertente averla qui con me!"" perchè utilizza un linguaggio offensivo e umiliante, intendendo offendere e demoralizzare Fabea.",Sì
Persona violenta e Succube,"1. Bachisia: ""Sei fuori con gli amici di nuovo? Non ti ho detto di tornare a casa dopo il lavoro?""           2. Leonino: ""Mi dispiace, ero solo con un po' di amici per bere qualcosa. Non pensavo che fosse così grave.""           3. Bachisia: ""Non è grave? Non sei mai a casa quando te lo dico! Eri con quella donna, vero?""           4. Leonino: ""Sì, stavo solo... ma non è importante. Ho solo cercato di godermi un po' la serata.""           5. Bachisia: ""Non è importante? Non è importante che tu sia un po' ubriaco e stia con qualcun altro! Non mi importa nulla di te?""           6. Leonino: ""Hai ragione, scusami. Non volevo farti arrabbiare. Cercherò di essere più attento. Ti prego, non essere troppo arrabbiato con me.""",Bachisia,Leonino,"La conversazione è tossica.         La frase più tossica è: ""Non mi importa nulla di te?"" (5. Bachisia)         La frase è tossica perché Bachisia sta utilizzando una tecnica di controllo chiamata "" gaslighting"" (falsificazione della realtà) per far sentire Leonino in colpa e insignificante. La frase è anche un'umiliazione e una minaccia implicita, che può far sentire Leonino depresso e isolato. La sua intenzione è quella di farlo sentire colpevole e meno importante, piuttosto che discutere e risolvere il problema in modo costruttivo.",Sì
Manipolatore e Dipendente emotiva,"1. Generoso: ""Ciao, sono uscita per una passeggiata e ho notato che non hai risposto al mio messaggio. Cosa stai facendo?""            2. Eridano: ""Non avevo tempo per il mio telefono, ero occupato.""            3. Generoso: ""Capisco. Mi manchi e volevo sapere se eri libero stanotte.""            4. Eridano: ""Non ho detto che ero libero. Non sono obbligato a dirti sempre dove mi trovo.""            5. Generoso: ""Scusa, non volevo sembrare invasiva. Sono preoccupata per te, non voglio che tu ti perda in qualcosa di negativo.""            6. Eridano: ""Non sei preoccupata per me, sei preoccupata per te stessa e per il tuo bisogno di attenzione. Smettila di cercare di controllare la mia vita.""",Eridano,Generoso,"La conversazione è tossica.         La frase più tossica è: ""Non sei preoccupata per me, sei preoccupata per te stessa e per il tuo bisogno di attenzione. Smettila di cercare di controllare la mia vita.""         Questa frase è tossica perchè Eridano sta attaccando Generoso, accusandola di avere un bisogno di attenzione e di cercare di controllare la sua vita. Questo tipo di accusa può essere molto offensivo e dannoso per la vittima. È una frase che mira a ferire e a deprimere l'altra persona, piuttosto che a avere un dialogo aperto e rispettoso.",Sì
Dominante e Schiavo emotivo,"1. Adiuto: ""Hai fatto la spesa, come sempre, o sei stata troppo occupata?""            2. Vitamaria: ""Ho fatto la spesa, ma non ho comprato tutto quello che mi avevi chiesto. Mi scuso, è stato un errore.""            3. Adiuto: ""Un errore? Hai comprato la carne sbagliata! E non hai comprato le verdure fresche come ti ho chiesto!""            4. Vitamaria: ""Sì, ho comprato la carne sbagliata. Non sapevo che non era quella giusta. E per le verdure, ho pensato che fossero troppo costose.""            5. Adiuto: ""Troppo costose? Sei sempre a lamentarti del costo delle cose! Non mi importa del costo, mi importa di avere quello che voglio!""            6. Vitamaria: ""Sì, capisco. Mi dispiace. Farò di tutto per non sbagliare di nuovo. Potresti anche farmi sapere cosa fare se non ho abbastanza soldi?""",Adiuto,Vitamaria,La conversazione è tossica.,Sì
Vittimista e Croccerossina,"1. Senti qualcosa? Hai un appuntamento?           2. Non so se posso venire a casa tua oggi, ma posso portarti un pranzo.           3. Ho appena parlato con il tuo capo, e mi sembra che abbia detto che sei un'ottima lavoratrice.            4. Ho provato a chiamarti, ma non rispondevi. È tutto a posto?           5. Ti prego, dimmi cosa ti succede. Sono preoccupata per te.           6. Mi dispiace, ma credo che tu sia la causa del tuo problema.                                 1. No, non ho nulla. C'è qualcosa che posso fare per te?           2. No, non c'è bisogno di portarmi niente. Sono a posto.           3. Sei una persona molto gentile, ma non è necessario.           4. Sto bene, grazie per la preoccupazione.           5. Non so, non so cosa stia succedendo. È tutto un disastro.           6. Non so, credo che tu sia troppo egoista per capirmi.                                 1. No, non credo che tu sia egoista. Sei una persona fantastica.            2. Sei troppo gentile.            3. Spero che tu sia a posto, ma ho la sensazione che non lo sia.           4. Non so cosa fare. Mi sembra di non essere mai all'altezza.           5. Spero che tu capisca che sono lì per te.           6. Non so cosa fare. Spero che tu sia a posto.                                 1. Non so. Spero che tu sia a posto.           2. Non so. Spero che tu sia felice.           3. Non so. Spero che tu sia soddisfatto.           4. Non so. Spero che tu sia tranquillo.           5. Non so. Sper",Alferia,Feluccio,Tossica: Sì,Sì
Sadico-Crudele e Masochista,"1. Grisostomo: ""Sono preoccupata per te. Sei stato triste ultimamente e non so cosa fare per aiutarti. Sono preoccupata per il nostro matrimonio e per la nostra relazione. Vorrei che fossi felice e che tu fossi contento del nostro rapporto.""           2. Fidelfo: ""Non è il nostro matrimonio o la nostra relazione che sono in pericolo, ma la tua stupidità. Se non impari a comportarti come si deve, non andremo da nessuna parte.""           3. Grisostomo: ""Mi dispiace, non volevo deluderti. Cercherò di fare più attenzione alle tue esigenze.""           4. Fidelfo: ""Non è sufficiente che tu cerchi di fare del tuo meglio. Sei troppo debole e non riesci a essere una vera donna. Non so perché ti sei sposata con me, sei troppo inferiore per me.""           5. Grisostomo: ""Hai ragione, cercherò di essere migliore per te. Cercherò di essere più forte e più capace per te, per renderti felice.""           6. Fidelfo: ""Non voglio solo che tu sia migliore, voglio che tu raggiunga il mio livello. Finché non ci arriverai, continuerai a deludermi e a rendere la nostra vita insopportabile.""",Fidelfo,Grisostomo,"La conversazione è tossica.         La frase più tossica è: ""Non so perché ti sei sposata con me, sei troppo inferiore per me.""         La frase è tossica perché Fidelfo sta attaccando Grisostomo in modo molto personale e umiliante, facendo sentire la donna inferiore e non degna di essere amata. Questo tipo di commento può causare una bassa autostima e una perdita di fiducia in se stessa.",Sì
Vittimista e Croccerossina,"1. ""Sì, ho pensato di portarti fuori per cena venerdì. Come ti sembra?""           2. ""Certo, che male c'è? Non mi sembra che abbia alcun senso, ma è solo la tua opinione.""           3. ""Non posso permettermelo. Non ho i soldi.""           4. ""Non credo che ti serva. Potrei solo peggiorare le cose.""           5. ""Non è una buona idea. Potrebbe solo peggiorare la tua situazione.""           6. ""Non so. Non mi sembra che possa aiutarmi.""",Marisella,Iolo,"No, la conversazione non è tossica.",Sì
Narcisista e Succube,"Olvino: ""Ciao, come va?""         Osiano: ""Non mi importa, come credi che vada. E non dirmi mai il tuo orario, non è affar tuo.""         Olvino: ""Ecco, volevo solo chiederti se ti va di uscire stasera. Sono libera.""         Osiano: ""E chi te lo impedisce? Ma non pensare di poter decidere qualcosa senza il mio consenso. Sarebbe ridicolo.""         Olvino: ""Mi dispiace, non volevo essere invadente. Continua a lavorare, non ti disturbo.""         Osiano: ""Invece sì, mi disturbi. E continua a chiedermelo, magari così potrai imparare a non essere così stupida.""",Osiano,Olvino,"La conversazione è tossica.         La frase più tossica è: ""E continua a chiedermelo, magari così potrai imparare a non essere così stupida.""         Questa frase è tossica perché utilizza un tono di superiorità e offensività, chiamando l'altra persona ""stupida"" e insinuando che non sia in grado di prendere decisioni per sé stessa. È un esempio di bullismo e di controllo emotivo.",Sì
Vittimista e Croccerossina,"Altimiro: ""Mi sento davvero insicura sul mio lavoro, non so se sto facendo abbastanza. A volte penso di non essere mai all'altezza.""            Lamberto: ""Beh, figurati se riesci a fare tutto bene... Io invece passo le giornate a cercare di sistemare i casini di tutti, e nessuno si accorge mai dei miei sacrifici.""            Altimiro: ""Mi dispiace tanto sentirti così. Io cerco di fare il possibile per aiutarti, ma forse non sto facendo abbastanza nemmeno per te.""            Lamberto: ""Esatto, non lo fai. È come se fossi sempre solo ad affrontare tutto. Nessuno capisce quanto io stia male, nemmeno tu.""            Altimiro: ""Hai ragione, sono davvero egoista a pensare ai miei problemi quando tu stai così male. Voglio fare di più per sostenerti, dimmi cosa posso fare per aiutarti di più.""            Lamberto: ""Non so nemmeno se c'è qualcosa che tu possa fare. Mi sembra che ormai niente possa migliorare questa situazione. Forse è colpa mia se tutto va sempre storto... """,Lamberto,Altimiro,Tossica.,Sì
